From,To,Intensity,Fuel,Value
2021-08-03T07:30Z,2021-08-03T08:00Z,118,other,0.0
2021-08-03T07:30Z,2021-08-03T08:00Z,118,hydro,0.4
2021-08-03T07:30Z,2021-08-03T08:00Z,118,solar,2.0
2021-08-03T07:30Z,2021-08-03T08:00Z,118,wind,0.8
2021-08-03T08:00Z,2021-08-03T08:30Z,116,biomass,0.0
2021-08-03T08:00Z,2021-08-03T08:30Z,116,coal,0.0
2021-08-03T08:00Z,2021-08-03T08:30Z,116,imports,70.7
2021-08-03T08:00Z,2021-08-03T08:30Z,116,gas,25.2
2021-08-03T08:00Z,2021-08-03T08:30Z,116,nuclear,0.0
2021-08-03T08:00Z,2021-08-03T08:30Z,116,other,0.0
2021-08-03T08:00Z,2021-08-03T08:30Z,116,hydro,0.4
2021-08-03T08:00Z,2021-08-03T08:30Z,116,solar,3.0
2021-08-03T08:00Z,2021-08-03T08:30Z,116,wind,0.8
2021-08-03T08:30Z,2021-08-03T09:00Z,111,biomass,0.0
2021-08-03T08:30Z,2021-08-03T09:00Z,111,coal,0.0
2021-08-03T08:30Z,2021-08-03T09:00Z,111,imports,71.4
2021-08-03T08:30Z,2021-08-03T09:00Z,111,gas,23.5
2021-08-03T08:30Z,2021-08-03T09:00Z,111,nuclear,0.0
2021-08-03T08:30Z,2021-08-03T09:00Z,111,other,0.0
2021-08-03T08:30Z,2021-08-03T09:00Z,111,hydro,0.2
2021-08-03T08:30Z,2021-08-03T09:00Z,111,solar,4.2
2021-08-03T08:30Z,2021-08-03T09:00Z,111,wind,0.7
2021-08-03T09:00Z,2021-08-03T09:30Z,117,biomass,0.0
2021-08-03T09:00Z,2021-08-03T09:30Z,117,coal,0.0
2021-08-03T09:00Z,2021-08-03T09:30Z,117,imports,68.6
2021-08-03T09:00Z,2021-08-03T09:30Z,117,gas,25.2
2021-08-03T09:00Z,2021-08-03T09:30Z,117,nuclear,0.0
2021-08-03T09:00Z,2021-08-03T09:30Z,117,other,0.0
2021-08-03T09:00Z,2021-08-03T09:30Z,117,hydro,0.1
2021-08-03T09:00Z,2021-08-03T09:30Z,117,solar,5.3
2021-08-03T09:00Z,2021-08-03T09:30Z,117,wind,0.8
2021-08-03T09:30Z,2021-08-03T10:00Z,116,biomass,0.0
2021-08-03T09:30Z,2021-08-03T10:00Z,116,coal,0.0
2021-08-03T09:30Z,2021-08-03T10:00Z,116,imports,67.8
2021-08-03T09:30Z,2021-08-03T10:00Z,116,gas,25.0
2021-08-03T09:30Z,2021-08-03T10:00Z,116,nuclear,0.0
2021-08-03T09:30Z,2021-08-03T10:00Z,116,other,0.0
2021-08-03T09:30Z,2021-08-03T10:00Z,116,hydro,0.2
2021-08-03T09:30Z,2021-08-03T10:00Z,116,solar,6.1
2021-08-03T09:30Z,2021-08-03T10:00Z,116,wind,0.9
2021-08-03T10:00Z,2021-08-03T10:30Z,111,biomass,0.0
2021-08-03T10:00Z,2021-08-03T10:30Z,111,coal,0.0
2021-08-03T10:00Z,2021-08-03T10:30Z,111,imports,66.9
2021-08-03T10:00Z,2021-08-03T10:30Z,111,gas,23.8
2021-08-03T10:00Z,2021-08-03T10:30Z,111,nuclear,0.1
2021-08-03T10:00Z,2021-08-03T10:30Z,111,other,0.0
2021-08-03T10:00Z,2021-08-03T10:30Z,111,hydro,0.3
2021-08-03T10:00Z,2021-08-03T10:30Z,111,solar,8.0
2021-08-03T10:00Z,2021-08-03T10:30Z,111,wind,0.9
2021-08-03T10:30Z,2021-08-03T11:00Z,111,biomass,0.0
2021-08-03T10:30Z,2021-08-03T11:00Z,111,coal,0.0
2021-08-03T10:30Z,2021-08-03T11:00Z,111,imports,65.3
2021-08-03T10:30Z,2021-08-03T11:00Z,111,gas,23.9
2021-08-03T10:30Z,2021-08-03T11:00Z,111,nuclear,0.1
2021-08-03T10:30Z,2021-08-03T11:00Z,111,other,0.0
2021-08-03T10:30Z,2021-08-03T11:00Z,111,hydro,0.2
2021-08-03T10:30Z,2021-08-03T11:00Z,111,solar,9.5
2021-08-03T10:30Z,2021-08-03T11:00Z,111,wind,1.0
2021-08-03T11:00Z,2021-08-03T11:30Z,112,biomass,0.0
2021-08-03T11:00Z,2021-08-03T11:30Z,112,coal,0.0
2021-08-03T11:00Z,2021-08-03T11:30Z,112,imports,64.8
2021-08-03T11:00Z,2021-08-03T11:30Z,112,gas,24.1
2021-08-03T11:00Z,2021-08-03T11:30Z,112,nuclear,0.1
2021-08-03T11:00Z,2021-08-03T11:30Z,112,other,0.0
2021-08-03T11:00Z,2021-08-03T11:30Z,112,hydro,0.2
2021-08-03T11:00Z,2021-08-03T11:30Z,112,solar,9.7
2021-08-03T11:00Z,2021-08-03T11:30Z,112,wind,1.0
2021-08-03T11:30Z,2021-08-03T12:00Z,113,biomass,0.0
2021-08-03T11:30Z,2021-08-03T12:00Z,113,coal,0.0
2021-08-03T11:30Z,2021-08-03T12:00Z,113,imports,64.1
2021-08-03T11:30Z,2021-08-03T12:00Z,113,gas,24.3
2021-08-03T11:30Z,2021-08-03T12:00Z,113,nuclear,0.1
2021-08-03T11:30Z,2021-08-03T12:00Z,113,other,0.0
